2026-03-30 13:48:28 - mkk_comic - app.py:587 - INFO - 正在下载第 053/066 页...
2026-03-30 13:48:28 - mkk_comic - app.py:587 - INFO - 正在下载第 054/066 页...
2026-03-30 13:48:28 - mkk_comic - app.py:587 - INFO - 正在下载第 055/066 页...
2026-03-30 13:48:28 - mkk_comic - app.py:587 - INFO - 正在下载第 056/066 页...
2026-03-30 13:48:28 - mkk_comic - app.py:587 - INFO - 正在下载第 057/066 页...
2026-03-30 13:48:28 - mkk_comic - app.py:587 - INFO - 正在下载第 058/066 页...
2026-03-30 13:48:28 - mkk_comic - app.py:587 - INFO - 正在下载第 059/066 页...
2026-03-30 13:48:28 - mkk_comic - app.py:587 - INFO - 正在下载第 060/066 页...
2026-03-30 13:48:28 - mkk_comic - app.py:587 - INFO - 正在下载第 061/066 页...
2026-03-30 13:48:28 - mkk_comic - app.py:587 - INFO - 正在下载第 062/066 页...
2026-03-30 13:48:28 - mkk_comic - app.py:587 - INFO - 正在下载第 063/066 页...
2026-03-30 13:48:28 - mkk_comic - app.py:587 - INFO - 正在下载第 064/066 页...
2026-03-30 13:48:28 - mkk_comic - app.py:587 - INFO - 正在下载第 065/066 页...
2026-03-30 13:48:28 - mkk_comic - app.py:587 - INFO - 正在下载第 066/066 页...
2026-03-30 13:48:28 - mkk_comic - app.py:511 - INFO - 下载完成!
2026-03-30 13:48:28 - mkk_comic - app.py:512 - INFO - 成功下载: 66/66 页
2026-03-30 13:48:28 - mkk_comic - app.py:523 - INFO - 章节下载完成，等待 6.1 秒后继续...
2026-03-30 13:48:35 - mkk_comic - app.py:494 - INFO - 正在下载第2章: 第1话    UUID:a77dd778-a419-11eb-a88c-024352452ce0
2026-03-30 13:48:36 - mkk_comic - app.py:502 - INFO - 创建目录: ./out/我獨自升級/第1话
2026-03-30 13:48:36 - mkk_comic - app.py:505 - INFO - 开始下载: 我獨自升級 - 第1话
2026-03-30 13:48:36 - mkk_comic - app.py:506 - INFO - 总页数: 118
2026-03-30 13:48:36 - mkk_comic - app.py:587 - INFO - 正在下载第 001/118 页...
2026-03-30 13:48:36 - mkk_comic - app.py:587 - INFO - 正在下载第 002/118 页...
2026-03-30 13:48:36 - mkk_comic - app.py:587 - INFO - 正在下载第 003/118 页...
2026-03-30 13:48:36 - mkk_comic - app.py:587 - INFO - 正在下载第 004/118 页...
